Time,Open,High,Low,Close,Volume
2022-06-21 16:15:00,21410.00000000,21505.96000000,21410.00000000,21486.72000000,555.55383000
2022-06-21 16:30:00,21486.72000000,21550.39000000,21440.00000000,21479.74000000,706.19810000
2022-06-21 16:45:00,21479.75000000,21504.01000000,21374.52000000,21401.52000000,613.96310000
2022-06-21 17:00:00,21401.52000000,21435.56000000,21332.30000000,21393.62000000,787.98032000
2022-06-21 17:15:00,21393.63000000,21433.06000000,21360.73000000,21411.10000000,458.07067000
2022-06-21 17:30:00,21411.10000000,21457.82000000,21195.70000000,21271.62000000,1071.46388000
2022-06-21 17:45:00,21271.63000000,21427.68000000,21200.00000000,21242.94000000,1438.31432000
2022-06-21 18:00:00,21242.93000000,21256.99000000,21166.02000000,21174.84000000,823.26872000
2022-06-21 18:15:00,21174.83000000,21224.16000000,21137.55000000,21222.46000000,755.46125000
2022-06-21 18:30:00,21222.46000000,21248.51000000,21125.00000000,21164.69000000,628.88367000
2022-06-21 18:45:00,21164.68000000,21194.03000000,21076.48000000,21100.01000000,612.79311000
2022-06-21 19:00:00,21100.00000000,21170.00000000,21082.58000000,21154.93000000,580.92337000
2022-06-21 19:15:00,21154.92000000,21226.33000000,21137.41000000,21172.80000000,453.57091000
2022-06-21 19:30:00,21172.81000000,21306.51000000,21149.04000000,21201.91000000,961.51836000
2022-06-21 19:45:00,21201.92000000,21204.27000000,20870.01000000,20888.64000000,2019.32264000
2022-06-21 20:00:00,20888.63000000,20987.38000000,20703.78000000,20714.30000000,1647.06997000
2022-06-21 20:15:00,20714.30000000,20862.53000000,20666.00000000,20829.89000000,1282.11384000
2022-06-21 20:30:00,20829.90000000,20977.74000000,20798.05000000,20945.59000000,834.88085000
2022-06-21 20:45:00,20945.60000000,20945.60000000,20829.46000000,20859.86000000,678.81130000
2022-06-21 21:00:00,20859.86000000,20955.63000000,20852.43000000,20955.63000000,441.81791000
2022-06-21 21:15:00,20955.42000000,20959.16000000,20875.24000000,20915.68000000,477.24639000
2022-06-21 21:30:00,20915.69000000,20950.22000000,20808.00000000,20813.94000000,268.44386000
2022-06-21 21:45:00,20813.93000000,21054.99000000,20813.93000000,20972.91000000,626.05420000
2022-06-21 22:00:00,20972.91000000,21003.70000000,20786.73000000,20793.16000000,710.79985000
2022-06-21 22:15:00,20793.15000000,20826.65000000,20741.03000000,20772.40000000,822.91100000
2022-06-21 22:30:00,20772.40000000,20860.06000000,20754.97000000,20848.68000000,564.37167000
2022-06-21 22:45:00,20848.56000000,20929.05000000,20772.05000000,20897.00000000,847.53398000
2022-06-21 23:00:00,20897.00000000,20929.46000000,20880.01000000,20900.10000000,327.82836000
2022-06-21 23:15:00,20900.10000000,20943.17000000,20551.00000000,20583.69000000,1178.79628000
2022-06-21 23:30:00,20583.69000000,20687.73000000,20553.45000000,20664.32000000,597.23765000
2022-06-21 23:45:00,20664.33000000,20762.20000000,20635.10000000,20723.52000000,509.91212000
2022-06-22 00:00:00,20723.51000000,20735.66000000,20456.00000000,20534.78000000,1530.79082000
2022-06-22 00:15:00,20534.77000000,20656.58000000,20421.38000000,20649.17000000,1175.43326000
2022-06-22 00:30:00,20649.17000000,20736.68000000,20642.00000000,20694.57000000,674.15305000
2022-06-22 00:45:00,20694.57000000,20694.58000000,20526.68000000,20587.01000000,815.47687000
2022-06-22 01:00:00,20587.01000000,20680.84000000,20502.81000000,20640.65000000,890.85760000
2022-06-22 01:15:00,20640.64000000,20694.73000000,20580.02000000,20610.06000000,512.96220000
2022-06-22 01:30:00,20610.05000000,20719.21000000,20564.14000000,20569.35000000,637.75188000
2022-06-22 01:45:00,20569.35000000,20580.00000000,20388.01000000,20411.24000000,1230.34421000
2022-06-22 02:00:00,20411.23000000,20469.92000000,20330.00000000,20366.99000000,1269.75206000
2022-06-22 02:15:00,20366.98000000,20475.22000000,20345.20000000,20460.22000000,699.74496000
2022-06-22 02:30:00,20460.22000000,20506.45000000,20436.00000000,20472.69000000,823.19035000
2022-06-22 02:45:00,20472.69000000,20526.67000000,20428.57000000,20466.47000000,795.63664000
2022-06-22 03:00:00,20466.47000000,20567.60000000,20449.74000000,20506.49000000,685.51320000
2022-06-22 03:15:00,20506.50000000,20540.40000000,20451.02000000,20466.78000000,605.16606000
2022-06-22 03:30:00,20466.78000000,20492.37000000,20346.88000000,20395.93000000,675.91894000
2022-06-22 03:45:00,20395.94000000,20399.50000000,20253.96000000,20317.88000000,956.62702000
2022-06-22 04:00:00,20317.89000000,20422.60000000,20280.12000000,20403.51000000,530.15264000
2022-06-22 04:15:00,20403.52000000,20418.21000000,20342.69000000,20365.98000000,744.88228000
2022-06-22 04:30:00,20365.99000000,20421.67000000,20275.34000000,20375.90000000,577.33614000
2022-06-22 04:45:00,20375.90000000,20469.50000000,20360.00000000,20435.08000000,523.62736000
2022-06-22 05:00:00,20435.08000000,20560.30000000,20430.24000000,20462.10000000,861.70531000
2022-06-22 05:15:00,20462.09000000,20563.13000000,20455.89000000,20526.13000000,534.63738000
2022-06-22 05:30:00,20526.13000000,20595.42000000,20463.10000000,20477.21000000,682.54223000
2022-06-22 05:45:00,20477.22000000,20497.00000000,20364.74000000,20368.76000000,661.27825000
2022-06-22 06:00:00,20368.77000000,20450.99000000,20322.65000000,20359.91000000,627.31818000
2022-06-22 06:15:00,20359.92000000,20367.08000000,20005.76000000,20020.00000000,2363.81085000
2022-06-22 06:30:00,20020.00000000,20131.82000000,19950.34000000,20082.43000000,1734.35953000
2022-06-22 06:45:00,20082.44000000,20187.84000000,20074.35000000,20112.97000000,679.87083000
2022-06-22 07:00:00,20112.97000000,20199.36000000,19966.62000000,20177.29000000,1359.56786000
2022-06-22 07:15:00,20177.29000000,20249.71000000,20117.57000000,20204.89000000,957.35977000
2022-06-22 07:30:00,20204.89000000,20244.50000000,20137.77000000,20138.72000000,625.89886000
2022-06-22 07:45:00,20138.71000000,20201.67000000,20056.30000000,20099.62000000,668.02386000
2022-06-22 08:00:00,20099.62000000,20250.00000000,20038.85000000,20214.27000000,738.78308000
2022-06-22 08:15:00,20214.27000000,20242.85000000,20172.68000000,20206.48000000,511.84353000
2022-06-22 08:30:00,20206.49000000,20225.96000000,20121.21000000,20136.49000000,471.41513000
2022-06-22 08:45:00,20136.48000000,20257.00000000,20100.01000000,20235.07000000,512.11582000
2022-06-22 09:00:00,20235.06000000,20362.00000000,20232.29000000,20280.51000000,1022.18470000
2022-06-22 09:15:00,20280.51000000,20339.47000000,20250.00000000,20269.22000000,880.69940000
2022-06-22 09:30:00,20269.23000000,20499.90000000,20262.58000000,20386.27000000,1342.84870000
2022-06-22 09:45:00,20386.27000000,20477.83000000,20378.47000000,20428.56000000,790.18414000
2022-06-22 10:00:00,20428.57000000,20550.00000000,20403.13000000,20409.94000000,816.57894000
2022-06-22 10:15:00,20409.95000000,20436.62000000,20357.14000000,20421.93000000,841.86557000
2022-06-22 10:30:00,20421.93000000,20497.23000000,20375.23000000,20403.00000000,657.61600000
2022-06-22 10:45:00,20403.00000000,20475.71000000,20373.11000000,20419.23000000,581.38106000
2022-06-22 11:00:00,20419.24000000,20495.00000000,20399.01000000,20479.57000000,585.28079000
2022-06-22 11:15:00,20480.68000000,20676.70000000,20461.50000000,20600.72000000,976.21465000
2022-06-22 11:30:00,20600.73000000,20642.85000000,20550.36000000,20629.34000000,765.40629000
2022-06-22 11:45:00,20629.34000000,20636.02000000,20482.39000000,20506.30000000,720.72766000
2022-06-22 12:00:00,20506.30000000,20511.01000000,20434.97000000,20458.84000000,495.33937000
2022-06-22 12:15:00,20458.83000000,20491.00000000,20382.10000000,20487.52000000,577.76183000
2022-06-22 12:30:00,20487.53000000,20573.37000000,20246.98000000,20288.84000000,1216.25140000
2022-06-22 12:45:00,20288.84000000,20392.14000000,20106.06000000,20365.50000000,1815.76490000
2022-06-22 13:00:00,20365.49000000,20455.00000000,20235.08000000,20350.11000000,969.04594000
2022-06-22 13:15:00,20350.11000000,20547.00000000,20273.49000000,20542.54000000,1605.20863000
2022-06-22 13:30:00,20542.55000000,20561.82000000,20425.33000000,20546.57000000,1476.01736000
2022-06-22 13:45:00,20546.57000000,20772.61000000,20476.30000000,20723.95000000,2408.17386000
2022-06-22 14:00:00,20723.95000000,20795.57000000,20642.81000000,20750.50000000,1471.04583000
2022-06-22 14:15:00,20750.51000000,20900.00000000,20700.26000000,20800.77000000,1780.46234000
2022-06-22 14:30:00,20800.77000000,20898.99000000,20735.40000000,20769.35000000,1443.46317000
2022-06-22 14:45:00,20769.35000000,20780.00000000,20640.00000000,20693.98000000,1202.91440000
2022-06-22 15:00:00,20693.98000000,20702.79000000,20501.46000000,20510.31000000,1404.24852000
2022-06-22 15:15:00,20510.31000000,20576.98000000,20434.34000000,20462.11000000,972.20010000
2022-06-22 15:30:00,20462.11000000,20570.16000000,20258.09000000,20314.98000000,1384.10920000
2022-06-22 15:45:00,20314.99000000,20356.15000000,20035.54000000,20080.10000000,3546.82571000
2022-06-22 16:00:00,20080.85000000,20183.15000000,19840.86000000,20030.48000000,3608.63249000
2022-06-22 16:15:00,20030.47000000,20251.60000000,20000.74000000,20138.11000000,1812.47532000
2022-06-22 16:30:00,20138.11000000,20229.48000000,20113.66000000,20184.66000000,843.74249000
